PAIS;AÑO;POBLACION;GDP USD;electricity_demand;electricity_generation;electricity_share_energy;energy_cons_change_% ;energy_cons_change_twh;energy_per_capita;fossil_cons_change_% ;fossil_cons_change_twh;fossil_elec_per_capita;fossil_electricity;fossil_energy_per_capita;fossil_fuel_consumption;fossil_share_elec;fossil_share_energy;greenhouse_gas_emissions;hydro_cons_change_% %;hydro_cons_change_twh;hydro_consumption;hydro_elec_per_capita;hydro_electricity;hydro_energy_per_capita;hydro_share_elec;hydro_share_energy;low_carbon_cons_change_%;low_carbon_cons_change_twh;low_carbon_consumption;low_carbon_elec_per_capita;low_carbon_electricity;low_carbon_energy_per_capita;low_carbon_share_elec %;low_carbon_share_energy %;net_elec_imports_Trw;net_elec_imports_share_demand %;renewables_cons_change_% %;renewables_cons_change_twh;renewables_consumption;renewables_elec_per_capita;renewables_electricity;renewables_energy_per_capita;renewables_share_elec %;renewables_share_energy %;solar_cons_change_% %;solar_cons_change_twh;solar_consumption;solar_elec_per_capita;solar_electricity;solar_energy_per_capita;solar_share_elec;solar_share_energy;wind_cons_change_% %;wind_cons_change_twh;wind_consumption;wind_elec_per_capita;wind_electricity;wind_energy_per_capita;wind_share_elec %;wind_share_energy %
Brazil;2012;199977712;3.02E+12;587.42;547.16;16.129;2.929;96.531;16963.494;7.151;129.172;386.093;77.21;9678.659;1935.516;14.111;57.056;64.43;-3.033;-42.781;1138.841;2076.931;415.34;5694.842;75.908;33.571;-2.23;-32.641;1456.805;2350.012;469.95;7284.834;85.889;42.944;40.26;6.854;-2.347;-33.387;1414.605;2274.153;454.78;7073.814;83.116;41.7;;0.004;0.004;0;0;0.022;0;0;86.707;6.385;13.847;25.253;5.05;69.242;0.923;0.408
Brazil;2013;201721776;3.11E+12;603.82;563.49;16.22;2.406;81.619;17221.439;5.733;110.961;555.22;112;10145.048;2046.477;19.876;58.909;85.74;-5.863;-73.225;1065.617;1938.264;390.99;5282.605;69.387;30.675;1.092;-29.342;1427.462;2238.182;451.49;7076.392;80.124;41.091;40.33;6.679;1.219;-27.548;1387.057;2165.557;436.84;6876.089;77.524;39.927;196.796;0.009;0.013;0;0;0.065;0;0;30.215;4.075;17.922;32.619;6.58;88.845;1.168;0.516
Brazil;2014;203459648;3.13E+12;615.64;581.86;16.324;2.604;90.479;17519.043;4.566;93.441;671.288;136.58;10517.655;2139.918;23.473;60.036;102.06;-4.489;-53.934;1011.683;1835.45;373.44;4972.401;64.18;28.383;1.73;-2.962;1424.5;2188.542;445.28;7001.388;76.527;39.964;33.78;5.487;1.786;-2.535;1384.521;2117.471;430.82;6804.895;74.042;38.843;235.485;0.031;0.044;0.098;0.02;0.214;0.003;0.001;85.683;15.157;33.079;60.012;12.21;162.581;2.098;0.928
Brazil;2015;205188208;3.27E+12;605.99;571.57;16.252;-1.332;-47.461;17140.15;-3.225;-69.01;627.96;128.85;10092.728;2070.909;22.543;58.884;97.39;-3.668;-42.906;968.777;1753.22;359.74;4721.409;62.939;27.546;4.715;21.548;1446.048;2157.629;442.72;7047.424;77.457;41.116;34.42;5.68;4.935;23.451;1407.973;2089.837;428.81;6861.86;75.023;40.034;266.361;0.115;0.159;0.292;0.06;0.773;0.01;0.005;77.111;25.159;58.237;104.636;21.47;283.824;3.756;1.656
Brazil;2016;206859584;2.89E+12;612.19;571.4;16.648;-2.411;-84.791;16591.764;-7.465;-154.589;449.87;93.06;9263.867;1916.32;16.286;55.834;77.78;5.884;50.935;1019.713;1841.394;380.91;4929.493;66.663;29.71;2.352;69.797;1515.846;2312.39;478.34;7327.897;83.714;44.166;40.79;6.663;2.232;67.119;1475.092;2240.022;463.37;7130.886;81.094;42.978;44.712;0.07;0.228;0.387;0.08;1.103;0.014;0.007;54.857;31.414;89.651;160.689;33.24;433.39;5.817;2.612
Brazil;2017;208504960;2.93E+12;617.51;581.16;16.782;0.898;30.828;16608.686;1.539;29.492;488.717;101.9;9332.207;1945.812;17.534;56.189;82.33;-2.626;-32.623;987.09;1778.903;370.91;4734.131;63.822;28.504;0.799;1.336;1517.182;2298.554;479.26;7276.478;82.466;43.811;36.35;5.887;0.837;1.895;1476.988;2227.285;464.4;7083.705;79.909;42.651;875.613;1.985;2.214;3.981;0.83;10.617;0.143;0.064;26.529;23.117;112.768;201.722;42.06;540.839;7.237;3.256
Brazil;2018;210166592;2.97E+12;629.12;594.14;17.093;0.375;12.975;16539.109;-4.559;-88.704;412.482;86.69;8836.361;1857.108;14.591;53.427;74.63;4.87;42.022;1029.111;1850.77;388.97;4896.646;65.468;29.606;8.876;101.678;1618.86;2414.513;507.45;7702.748;85.409;46.573;34.98;5.56;9.093;102.079;1579.067;2344.14;492.66;7513.406;82.92;45.428;316.131;6.944;9.158;16.368;3.44;43.575;0.579;0.263;14.4;15.484;128.252;228.961;48.12;610.24;8.099;3.69
Brazil;2019;211782880;;643.62;618.66;17.511;1.639;56.982;16681.945;-1.005;-18.667;429.26;90.91;8680.78;1838.441;14.695;52.037;77.06;2.29;19.682;1048.793;1878.717;397.88;4952.208;64.313;29.686;6.153;75.65;1694.51;2491.939;527.75;8001.166;85.305;47.963;24.96;3.878;6.222;74.646;1653.713;2420.356;512.59;7808.528;82.855;46.808;92.249;8.383;17.541;31.117;6.59;82.827;1.065;0.497;15.493;19.325;147.577;261.73;55.43;696.829;8.96;4.177
Brazil;2020;213196304;;639.09;614.37;18.1;-3.923;-138.582;15921.327;-7.197;-132.319;380.635;81.15;8002.587;1706.122;13.209;50.263;72.15;-0.376;-7.781;1041.012;1858.991;396.33;4882.878;64.51;30.669;-1.612;-6.264;1688.246;2501.075;533.22;7918.739;86.791;49.737;24.72;3.868;-1.379;-0.882;1652.831;2439.114;520.01;7752.625;84.641;48.693;61.518;10.687;28.228;49.907;10.64;132.405;1.732;0.832;1.902;2.255;149.832;264.92;56.48;702.787;9.193;4.414
Brazil;2021;214326224;;685.68;662.58;18.556;5.194;176.302;16659.977;13.123;223.892;649.524;139.21;9005.032;1930.015;21.01;54.052;105.08;-8.467;-91.633;949.379;1692.84;362.82;4429.596;54.759;26.588;-2.228;-47.591;1640.655;2441.932;523.37;7654.942;78.99;45.948;23.1;3.369;-2.353;-49.099;1603.732;2373.345;508.67;7482.67;76.771;44.914;55.859;15.607;43.835;78.152;16.75;204.526;2.528;1.228;26.705;39.317;189.149;333.604;71.5;882.529;10.791;5.297
